Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15790,92968,108758,Yaedashe,MMR007010
 Associate Scrutiny Card (blue),41,55,96,Yaedashe,MMR007010
 Naturalised Scrutiny Card (green),64,363,427,Yaedashe,MMR007010
 National Registration Card (3-fold),171,1587,1758,Yaedashe,MMR007010
 Religious card,147,813,960,Yaedashe,MMR007010
 Temporary Registration Card (white),99,730,829,Yaedashe,MMR007010
 Foreign Registration Card (FRC),2,13,15,Yaedashe,MMR007010
 Foreign Passport,15,58,73,Yaedashe,MMR007010
 None,4212,53430,57642,Yaedashe,MMR007010
 Child under 10 years,3879,39156,43035,Yaedashe,MMR007010
 Total,24420,189173,213593,Yaedashe,MMR007010
