Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7165,95290,102455,Kangyidaunt,MMR017002
 Associate Scrutiny Card (blue),31,62,93,Kangyidaunt,MMR017002
 Naturalised Scrutiny Card (green),24,84,108,Kangyidaunt,MMR017002
 National Registration Card (3-fold),12,286,298,Kangyidaunt,MMR017002
 Religious card,72,402,474,Kangyidaunt,MMR017002
 Temporary Registration Card (white),37,106,143,Kangyidaunt,MMR017002
 Foreign Registration Card (FRC),11,5,16,Kangyidaunt,MMR017002
 Foreign Passport,1,24,25,Kangyidaunt,MMR017002
 None,1826,37776,39602,Kangyidaunt,MMR017002
 Child under 10 years,1913,32863,34776,Kangyidaunt,MMR017002
 Total,11092,166898,177990,Kangyidaunt,MMR017002
