Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5158,78855,84013,Sinku,MMR010010
 Associate Scrutiny Card (blue),2,58,60,Sinku,MMR010010
 Naturalised Scrutiny Card (green),23,917,940,Sinku,MMR010010
 National Registration Card (3-fold),70,5047,5117,Sinku,MMR010010
 Religious card,84,707,791,Sinku,MMR010010
 Temporary Registration Card (white),19,1370,1389,Sinku,MMR010010
 Foreign Registration Card (FRC),-,3,3,Sinku,MMR010010
 Foreign Passport,-,21,21,Sinku,MMR010010
 None,873,34701,35574,Sinku,MMR010010
 Child under 10 years,1164,28513,29677,Sinku,MMR010010
 Total,7393,150192,157585,Sinku,MMR010010
