Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7395,77402,84797,Ngaputaw,MMR017004
 Associate Scrutiny Card (blue),8,55,63,Ngaputaw,MMR017004
 Naturalised Scrutiny Card (green),6,182,188,Ngaputaw,MMR017004
 National Registration Card (3-fold),38,523,561,Ngaputaw,MMR017004
 Religious card,26,201,227,Ngaputaw,MMR017004
 Temporary Registration Card (white),5,96,101,Ngaputaw,MMR017004
 Foreign Registration Card (FRC),-,4,4,Ngaputaw,MMR017004
 Foreign Passport,-,17,17,Ngaputaw,MMR017004
 None,1553,44156,45709,Ngaputaw,MMR017004
 Child under 10 years,1651,35458,37109,Ngaputaw,MMR017004
 Total,10682,158094,168776,Ngaputaw,MMR017004
