Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3998,6031,10029,Pansai(KyuKute)(ST),MMR015009
 Associate Scrutiny Card (blue),20,3,23,Pansai(KyuKute)(ST),MMR015009
 Naturalised Scrutiny Card (green),148,50,198,Pansai(KyuKute)(ST),MMR015009
 National Registration Card (3-fold),1162,808,1970,Pansai(KyuKute)(ST),MMR015009
 Religious card,26,28,54,Pansai(KyuKute)(ST),MMR015009
 Temporary Registration Card (white),260,427,687,Pansai(KyuKute)(ST),MMR015009
 Foreign Registration Card (FRC),8,6,14,Pansai(KyuKute)(ST),MMR015009
 Foreign Passport,3,8,11,Pansai(KyuKute)(ST),MMR015009
 None,2077,3196,5273,Pansai(KyuKute)(ST),MMR015009
 Child under 10 years,1828,2863,4691,Pansai(KyuKute)(ST),MMR015009
 Total,9530,13420,22950,Pansai(KyuKute)(ST),MMR015009
