Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),170846,-,170846,Mahaaungmye,MMR010003
 Associate Scrutiny Card (blue),427,-,427,Mahaaungmye,MMR010003
 Naturalised Scrutiny Card (green),782,-,782,Mahaaungmye,MMR010003
 National Registration Card (3-fold),2281,-,2281,Mahaaungmye,MMR010003
 Religious card,5258,-,5258,Mahaaungmye,MMR010003
 Temporary Registration Card (white),388,-,388,Mahaaungmye,MMR010003
 Foreign Registration Card (FRC),57,-,57,Mahaaungmye,MMR010003
 Foreign Passport,299,-,299,Mahaaungmye,MMR010003
 None,30348,-,30348,Mahaaungmye,MMR010003
 Child under 10 years,30427,-,30427,Mahaaungmye,MMR010003
 Total,241113,-,241113,Mahaaungmye,MMR010003
