Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),124,993,1117,Panwine,MMR015007
 Associate Scrutiny Card (blue),-,66,66,Panwine,MMR015007
 Naturalised Scrutiny Card (green),-,114,114,Panwine,MMR015007
 National Registration Card (3-fold),-,1,1,Panwine,MMR015007
 Religious card,-,1,1,Panwine,MMR015007
 Temporary Registration Card (white),-,51,51,Panwine,MMR015007
 Foreign Registration Card (FRC),-,6,6,Panwine,MMR015007
 Foreign Passport,12,37,49,Panwine,MMR015007
 None,2443,68095,70538,Panwine,MMR015007
 Child under 10 years,857,24297,25154,Panwine,MMR015007
 Total,3436,93661,97097,Panwine,MMR015007
