Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2181,15275,17456,Minekat,MMR016002
 Associate Scrutiny Card (blue),-,9,9,Minekat,MMR016002
 Naturalised Scrutiny Card (green),-,25,25,Minekat,MMR016002
 National Registration Card (3-fold),1,11,12,Minekat,MMR016002
 Religious card,9,57,66,Minekat,MMR016002
 Temporary Registration Card (white),4,75,79,Minekat,MMR016002
 Foreign Registration Card (FRC),-,162,162,Minekat,MMR016002
 Foreign Passport,-,10,10,Minekat,MMR016002
 None,201,15977,16178,Minekat,MMR016002
 Child under 10 years,431,10100,10531,Minekat,MMR016002
 Total,2827,41701,44528,Minekat,MMR016002
