Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4135,27305,31440,Paletwat,MMR004009
 Associate Scrutiny Card (blue),-,25,25,Paletwat,MMR004009
 Naturalised Scrutiny Card (green),31,35,66,Paletwat,MMR004009
 National Registration Card (3-fold),34,393,427,Paletwat,MMR004009
 Religious card,17,67,84,Paletwat,MMR004009
 Temporary Registration Card (white),54,446,500,Paletwat,MMR004009
 Foreign Registration Card (FRC),1,4,5,Paletwat,MMR004009
 Foreign Passport,61,26,87,Paletwat,MMR004009
 None,832,13994,14826,Paletwat,MMR004009
 Child under 10 years,1209,16302,17511,Paletwat,MMR004009
 Total,6374,58597,64971,Paletwat,MMR004009
