Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6804,22765,29569,Mongkai,MMR014016
 Associate Scrutiny Card (blue),6,12,18,Mongkai,MMR014016
 Naturalised Scrutiny Card (green),117,37,154,Mongkai,MMR014016
 National Registration Card (3-fold),57,279,336,Mongkai,MMR014016
 Religious card,47,195,242,Mongkai,MMR014016
 Temporary Registration Card (white),9,5,14,Mongkai,MMR014016
 Foreign Registration Card (FRC),2,-,2,Mongkai,MMR014016
 Foreign Passport,1,3,4,Mongkai,MMR014016
 None,1392,26059,27451,Mongkai,MMR014016
 Child under 10 years,2185,14319,16504,Mongkai,MMR014016
 Total,10620,63674,74294,Mongkai,MMR014016
