Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),12769,64930,77699,Shwedaung,MMR008006
 Associate Scrutiny Card (blue),2,18,20,Shwedaung,MMR008006
 Naturalised Scrutiny Card (green),39,92,131,Shwedaung,MMR008006
 National Registration Card (3-fold),40,757,797,Shwedaung,MMR008006
 Religious card,206,460,666,Shwedaung,MMR008006
 Temporary Registration Card (white),80,316,396,Shwedaung,MMR008006
 Foreign Registration Card (FRC),1,-,1,Shwedaung,MMR008006
 Foreign Passport,-,11,11,Shwedaung,MMR008006
 None,2354,23103,25457,Shwedaung,MMR008006
 Child under 10 years,2190,14303,16493,Shwedaung,MMR008006
 Total,17681,103990,121671,Shwedaung,MMR008006
