Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15247,113536,128783,Hmawby,MMR013003
 Associate Scrutiny Card (blue),59,95,154,Hmawby,MMR013003
 Naturalised Scrutiny Card (green),72,538,610,Hmawby,MMR013003
 National Registration Card (3-fold),1118,9488,10606,Hmawby,MMR013003
 Religious card,377,1599,1976,Hmawby,MMR013003
 Temporary Registration Card (white),127,1636,1763,Hmawby,MMR013003
 Foreign Registration Card (FRC),17,110,127,Hmawby,MMR013003
 Foreign Passport,14,198,212,Hmawby,MMR013003
 None,5158,53290,58448,Hmawby,MMR013003
 Child under 10 years,3771,38157,41928,Hmawby,MMR013003
 Total,25960,218647,244607,Hmawby,MMR013003
