Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2343,22065,24408,Ngayokaung(ST),MMR017004
 Associate Scrutiny Card (blue),-,6,6,Ngayokaung(ST),MMR017004
 Naturalised Scrutiny Card (green),1,53,54,Ngayokaung(ST),MMR017004
 National Registration Card (3-fold),4,258,262,Ngayokaung(ST),MMR017004
 Religious card,7,57,64,Ngayokaung(ST),MMR017004
 Temporary Registration Card (white),3,43,46,Ngayokaung(ST),MMR017004
 Foreign Registration Card (FRC),1,-,1,Ngayokaung(ST),MMR017004
 Foreign Passport,-,8,8,Ngayokaung(ST),MMR017004
 None,406,8399,8805,Ngayokaung(ST),MMR017004
 Child under 10 years,491,7049,7540,Ngayokaung(ST),MMR017004
 Total,3256,37938,41194,Ngayokaung(ST),MMR017004
