Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4112,13269,17381,Maukme`,MMR014020
 Associate Scrutiny Card (blue),-,9,9,Maukme`,MMR014020
 Naturalised Scrutiny Card (green),-,15,15,Maukme`,MMR014020
 National Registration Card (3-fold),2,20,22,Maukme`,MMR014020
 Religious card,34,129,163,Maukme`,MMR014020
 Temporary Registration Card (white),1,4,5,Maukme`,MMR014020
 Foreign Registration Card (FRC),1,-,1,Maukme`,MMR014020
 Foreign Passport,-,6,6,Maukme`,MMR014020
 None,366,7531,7897,Maukme`,MMR014020
 Child under 10 years,706,7605,8311,Maukme`,MMR014020
 Total,5222,28588,33810,Maukme`,MMR014020
