Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),36180,108632,144812,Nyaung U,MMR010022
 Associate Scrutiny Card (blue),82,23,105,Nyaung U,MMR010022
 Naturalised Scrutiny Card (green),24,58,82,Nyaung U,MMR010022
 National Registration Card (3-fold),89,187,276,Nyaung U,MMR010022
 Religious card,431,531,962,Nyaung U,MMR010022
 Temporary Registration Card (white),25,100,125,Nyaung U,MMR010022
 Foreign Registration Card (FRC),44,2,46,Nyaung U,MMR010022
 Foreign Passport,605,350,955,Nyaung U,MMR010022
 None,4063,15524,19587,Nyaung U,MMR010022
 Child under 10 years,6985,24250,31235,Nyaung U,MMR010022
 Total,48528,149657,198185,Nyaung U,MMR010022
