Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5910,16900,22810,Matupi,MMR004007
 Associate Scrutiny Card (blue),1,9,10,Matupi,MMR004007
 Naturalised Scrutiny Card (green),3,18,21,Matupi,MMR004007
 National Registration Card (3-fold),4,47,51,Matupi,MMR004007
 Religious card,6,-,6,Matupi,MMR004007
 Temporary Registration Card (white),4,55,59,Matupi,MMR004007
 Foreign Registration Card (FRC),1,-,1,Matupi,MMR004007
 Foreign Passport,5,13,18,Matupi,MMR004007
 None,710,5139,5849,Matupi,MMR004007
 Child under 10 years,1978,8283,10261,Matupi,MMR004007
 Total,8622,30464,39086,Matupi,MMR004007
