Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7011,467,7478,Kengtaung(ST),MMR014019
 Associate Scrutiny Card (blue),2,1,3,Kengtaung(ST),MMR014019
 Naturalised Scrutiny Card (green),4,1,5,Kengtaung(ST),MMR014019
 National Registration Card (3-fold),47,-,47,Kengtaung(ST),MMR014019
 Religious card,29,-,29,Kengtaung(ST),MMR014019
 Temporary Registration Card (white),25,1,26,Kengtaung(ST),MMR014019
 Foreign Passport,1,-,1,Kengtaung(ST),MMR014019
 None,1238,109,1347,Kengtaung(ST),MMR014019
 Child under 10 years,1634,226,1860,Kengtaung(ST),MMR014019
 Total,9991,805,10796,Kengtaung(ST),MMR014019
