Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2388,10956,13344,Manton,MMR015019
 Associate Scrutiny Card (blue),24,47,71,Manton,MMR015019
 Naturalised Scrutiny Card (green),109,67,176,Manton,MMR015019
 National Registration Card (3-fold),86,407,493,Manton,MMR015019
 Religious card,2,58,60,Manton,MMR015019
 Temporary Registration Card (white),7,47,54,Manton,MMR015019
 Foreign Registration Card (FRC),5,1,6,Manton,MMR015019
 Foreign Passport,-,11,11,Manton,MMR015019
 None,643,13397,14040,Manton,MMR015019
 Child under 10 years,838,9508,10346,Manton,MMR015019
 Total,4102,34499,38601,Manton,MMR015019
