Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1159,9645,10804,Myothit(ST),MMR005030
 Associate Scrutiny Card (blue),-,10,10,Myothit(ST),MMR005030
 Naturalised Scrutiny Card (green),2,10,12,Myothit(ST),MMR005030
 National Registration Card (3-fold),5,51,56,Myothit(ST),MMR005030
 Religious card,4,16,20,Myothit(ST),MMR005030
 Temporary Registration Card (white),-,6,6,Myothit(ST),MMR005030
 Foreign Passport,-,1,1,Myothit(ST),MMR005030
 None,81,1249,1330,Myothit(ST),MMR005030
 Child under 10 years,391,4168,4559,Myothit(ST),MMR005030
 Total,1642,15156,16798,Myothit(ST),MMR005030
