Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3458,90987,94445,Yinmarpin,MMR005016
 Associate Scrutiny Card (blue),-,35,35,Yinmarpin,MMR005016
 Naturalised Scrutiny Card (green),61,116,177,Yinmarpin,MMR005016
 National Registration Card (3-fold),21,1027,1048,Yinmarpin,MMR005016
 Religious card,19,564,583,Yinmarpin,MMR005016
 Temporary Registration Card (white),5,87,92,Yinmarpin,MMR005016
 Foreign Registration Card (FRC),-,1,1,Yinmarpin,MMR005016
 Foreign Passport,-,31,31,Yinmarpin,MMR005016
 None,555,20296,20851,Yinmarpin,MMR005016
 Child under 10 years,687,23530,24217,Yinmarpin,MMR005016
 Total,4806,136674,141480,Yinmarpin,MMR005016
