Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),994,8610,9604,Minekoke(ST),MMR016006
 Associate Scrutiny Card (blue),-,2,2,Minekoke(ST),MMR016006
 Naturalised Scrutiny Card (green),2,3,5,Minekoke(ST),MMR016006
 National Registration Card (3-fold),1,16,17,Minekoke(ST),MMR016006
 Religious card,3,4,7,Minekoke(ST),MMR016006
 Temporary Registration Card (white),1,11,12,Minekoke(ST),MMR016006
 Foreign Registration Card (FRC),9,-,9,Minekoke(ST),MMR016006
 Foreign Passport,-,2,2,Minekoke(ST),MMR016006
 None,150,2777,2927,Minekoke(ST),MMR016006
 Child under 10 years,281,5230,5511,Minekoke(ST),MMR016006
 Total,1441,16655,18096,Minekoke(ST),MMR016006
