Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6300,52713,59013,Htantapin,MMR007014
 Associate Scrutiny Card (blue),8,41,49,Htantapin,MMR007014
 Naturalised Scrutiny Card (green),13,235,248,Htantapin,MMR007014
 National Registration Card (3-fold),62,400,462,Htantapin,MMR007014
 Religious card,19,357,376,Htantapin,MMR007014
 Temporary Registration Card (white),23,239,262,Htantapin,MMR007014
 Foreign Passport,-,32,32,Htantapin,MMR007014
 None,1802,30395,32197,Htantapin,MMR007014
 Child under 10 years,1662,22975,24637,Htantapin,MMR007014
 Total,9889,107387,117276,Htantapin,MMR007014
