Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5856,127405,133261,Myaing,MMR009020
 Associate Scrutiny Card (blue),-,29,29,Myaing,MMR009020
 Naturalised Scrutiny Card (green),-,211,211,Myaing,MMR009020
 National Registration Card (3-fold),21,1825,1846,Myaing,MMR009020
 Religious card,51,719,770,Myaing,MMR009020
 Temporary Registration Card (white),1,71,72,Myaing,MMR009020
 Foreign Registration Card (FRC),1,-,1,Myaing,MMR009020
 Foreign Passport,-,80,80,Myaing,MMR009020
 None,633,46340,46973,Myaing,MMR009020
 Child under 10 years,1143,41385,42528,Myaing,MMR009020
 Total,7706,218065,225771,Myaing,MMR009020
