Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),27923,45012,72935,Pobbathiri,MMR018005
 Associate Scrutiny Card (blue),14,19,33,Pobbathiri,MMR018005
 Naturalised Scrutiny Card (green),51,86,137,Pobbathiri,MMR018005
 National Registration Card (3-fold),596,582,1178,Pobbathiri,MMR018005
 Religious card,101,353,454,Pobbathiri,MMR018005
 Temporary Registration Card (white),437,213,650,Pobbathiri,MMR018005
 Foreign Registration Card (FRC),-,3,3,Pobbathiri,MMR018005
 Foreign Passport,55,12,67,Pobbathiri,MMR018005
 None,6822,11013,17835,Pobbathiri,MMR018005
 Child under 10 years,8438,14761,23199,Pobbathiri,MMR018005
 Total,44437,72054,116491,Pobbathiri,MMR018005
