Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5812,76629,82441,Kyaikemaraw,MMR011002
 Associate Scrutiny Card (blue),3,64,67,Kyaikemaraw,MMR011002
 Naturalised Scrutiny Card (green),11,303,314,Kyaikemaraw,MMR011002
 National Registration Card (3-fold),1223,13558,14781,Kyaikemaraw,MMR011002
 Religious card,50,621,671,Kyaikemaraw,MMR011002
 Temporary Registration Card (white),9,290,299,Kyaikemaraw,MMR011002
 Foreign Registration Card (FRC),-,1,1,Kyaikemaraw,MMR011002
 Foreign Passport,2,57,59,Kyaikemaraw,MMR011002
 None,1828,50183,52011,Kyaikemaraw,MMR011002
 Child under 10 years,2083,43083,45166,Kyaikemaraw,MMR011002
 Total,11021,184789,195810,Kyaikemaraw,MMR011002
