Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6794,28988,35782,Momeik,MMR015017
 Associate Scrutiny Card (blue),25,12,37,Momeik,MMR015017
 Naturalised Scrutiny Card (green),35,54,89,Momeik,MMR015017
 National Registration Card (3-fold),52,755,807,Momeik,MMR015017
 Religious card,83,192,275,Momeik,MMR015017
 Temporary Registration Card (white),8,85,93,Momeik,MMR015017
 Foreign Registration Card (FRC),9,3,12,Momeik,MMR015017
 Foreign Passport,1,10,11,Momeik,MMR015017
 None,1594,12123,13717,Momeik,MMR015017
 Child under 10 years,1659,10848,12507,Momeik,MMR015017
 Total,10260,53070,63330,Momeik,MMR015017
