Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),17321,70484,87805,Thongwa,MMR013025
 Associate Scrutiny Card (blue),31,49,80,Thongwa,MMR013025
 Naturalised Scrutiny Card (green),804,2112,2916,Thongwa,MMR013025
 National Registration Card (3-fold),260,1069,1329,Thongwa,MMR013025
 Religious card,173,405,578,Thongwa,MMR013025
 Temporary Registration Card (white),177,576,753,Thongwa,MMR013025
 Foreign Registration Card (FRC),5,11,16,Thongwa,MMR013025
 Foreign Passport,2,32,34,Thongwa,MMR013025
 None,4814,31679,36493,Thongwa,MMR013025
 Child under 10 years,4431,23441,27872,Thongwa,MMR013025
 Total,28018,129858,157876,Thongwa,MMR013025
