Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),18431,7868,26299,Tanaing,MMR001004
 Associate Scrutiny Card (blue),15,1,16,Tanaing,MMR001004
 Naturalised Scrutiny Card (green),71,21,92,Tanaing,MMR001004
 National Registration Card (3-fold),222,347,569,Tanaing,MMR001004
 Religious card,28,31,59,Tanaing,MMR001004
 Temporary Registration Card (white),116,71,187,Tanaing,MMR001004
 Foreign Registration Card (FRC),1,-,1,Tanaing,MMR001004
 Foreign Passport,2,11,13,Tanaing,MMR001004
 None,6297,4468,10765,Tanaing,MMR001004
 Child under 10 years,6815,3750,10565,Tanaing,MMR001004
 Total,31998,16568,48566,Tanaing,MMR001004
