Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2275,11110,13385,Khawzar,MMR011006
 Associate Scrutiny Card (blue),1,7,8,Khawzar,MMR011006
 Naturalised Scrutiny Card (green),4,38,42,Khawzar,MMR011006
 National Registration Card (3-fold),57,157,214,Khawzar,MMR011006
 Religious card,13,74,87,Khawzar,MMR011006
 Temporary Registration Card (white),34,40,74,Khawzar,MMR011006
 Foreign Passport,-,1,1,Khawzar,MMR011006
 None,739,3633,4372,Khawzar,MMR011006
 Child under 10 years,721,3759,4480,Khawzar,MMR011006
 Total,3844,18819,22663,Khawzar,MMR011006
