Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),8579,38038,46617,Wuntho,MMR005025
 Associate Scrutiny Card (blue),4,23,27,Wuntho,MMR005025
 Naturalised Scrutiny Card (green),1,17,18,Wuntho,MMR005025
 National Registration Card (3-fold),5,59,64,Wuntho,MMR005025
 Religious card,266,302,568,Wuntho,MMR005025
 Temporary Registration Card (white),8,120,128,Wuntho,MMR005025
 Foreign Registration Card (FRC),2,1,3,Wuntho,MMR005025
 Foreign Passport,1,11,12,Wuntho,MMR005025
 None,1240,10102,11342,Wuntho,MMR005025
 Child under 10 years,1866,12750,14616,Wuntho,MMR005025
 Total,11972,61423,73395,Wuntho,MMR005025
