Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),37458,44197,81655,Bhamo,MMR001010
 Associate Scrutiny Card (blue),84,32,116,Bhamo,MMR001010
 Naturalised Scrutiny Card (green),167,125,292,Bhamo,MMR001010
 National Registration Card (3-fold),203,549,752,Bhamo,MMR001010
 Religious card,429,324,753,Bhamo,MMR001010
 Temporary Registration Card (white),316,826,1142,Bhamo,MMR001010
 Foreign Registration Card (FRC),21,8,29,Bhamo,MMR001010
 Foreign Passport,18,24,42,Bhamo,MMR001010
 None,9785,14806,24591,Bhamo,MMR001010
 Child under 10 years,10215,16290,26505,Bhamo,MMR001010
 Total,58696,77181,135877,Bhamo,MMR001010
