Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3362,34731,38093,Htilin,MMR009024
 Associate Scrutiny Card (blue),1,1,2,Htilin,MMR009024
 Naturalised Scrutiny Card (green),-,7,7,Htilin,MMR009024
 National Registration Card (3-fold),1,12,13,Htilin,MMR009024
 Religious card,21,217,238,Htilin,MMR009024
 Temporary Registration Card (white),3,65,68,Htilin,MMR009024
 Foreign Registration Card (FRC),-,1,1,Htilin,MMR009024
 Foreign Passport,3,3,6,Htilin,MMR009024
 None,340,2811,3151,Htilin,MMR009024
 Child under 10 years,791,6496,7287,Htilin,MMR009024
 Total,4522,44344,48866,Htilin,MMR009024
