Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),121957,-,121957,Tamway,MMR013015
 Associate Scrutiny Card (blue),579,-,579,Tamway,MMR013015
 Naturalised Scrutiny Card (green),1206,-,1206,Tamway,MMR013015
 National Registration Card (3-fold),4781,-,4781,Tamway,MMR013015
 Religious card,1383,-,1383,Tamway,MMR013015
 Temporary Registration Card (white),557,-,557,Tamway,MMR013015
 Foreign Registration Card (FRC),181,-,181,Tamway,MMR013015
 Foreign Passport,774,-,774,Tamway,MMR013015
 None,16570,-,16570,Tamway,MMR013015
 Child under 10 years,17325,-,17325,Tamway,MMR013015
 Total,165313,-,165313,Tamway,MMR013015
