Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),25521,89470,114991,Minbu,MMR009007
 Associate Scrutiny Card (blue),27,47,74,Minbu,MMR009007
 Naturalised Scrutiny Card (green),99,263,362,Minbu,MMR009007
 National Registration Card (3-fold),637,3040,3677,Minbu,MMR009007
 Religious card,334,549,883,Minbu,MMR009007
 Temporary Registration Card (white),90,138,228,Minbu,MMR009007
 Foreign Registration Card (FRC),5,1,6,Minbu,MMR009007
 Foreign Passport,12,19,31,Minbu,MMR009007
 None,6697,29824,36521,Minbu,MMR009007
 Child under 10 years,6137,25272,31409,Minbu,MMR009007
 Total,39559,148623,188182,Minbu,MMR009007
