Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),41417,96963,138380,Shwebo,MMR005004
 Associate Scrutiny Card (blue),70,43,113,Shwebo,MMR005004
 Naturalised Scrutiny Card (green),139,224,363,Shwebo,MMR005004
 National Registration Card (3-fold),447,1270,1717,Shwebo,MMR005004
 Religious card,946,810,1756,Shwebo,MMR005004
 Temporary Registration Card (white),75,351,426,Shwebo,MMR005004
 Foreign Registration Card (FRC),3,2,5,Shwebo,MMR005004
 Foreign Passport,18,38,56,Shwebo,MMR005004
 None,16080,41146,57226,Shwebo,MMR005004
 Child under 10 years,9841,25659,35500,Shwebo,MMR005004
 Total,69036,166506,235542,Shwebo,MMR005004
