Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2067,10784,12851,Kaleinaung(ST),MMR006004
 Associate Scrutiny Card (blue),-,8,8,Kaleinaung(ST),MMR006004
 Naturalised Scrutiny Card (green),10,17,27,Kaleinaung(ST),MMR006004
 National Registration Card (3-fold),26,139,165,Kaleinaung(ST),MMR006004
 Religious card,8,34,42,Kaleinaung(ST),MMR006004
 Temporary Registration Card (white),3,15,18,Kaleinaung(ST),MMR006004
 Foreign Registration Card (FRC),-,2,2,Kaleinaung(ST),MMR006004
 Foreign Passport,-,1,1,Kaleinaung(ST),MMR006004
 None,421,3606,4027,Kaleinaung(ST),MMR006004
 Child under 10 years,579,4145,4724,Kaleinaung(ST),MMR006004
 Total,3114,18751,21865,Kaleinaung(ST),MMR006004
