Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2253,21803,24056,Leiktho(ST),MMR003004
 Associate Scrutiny Card (blue),-,23,23,Leiktho(ST),MMR003004
 Naturalised Scrutiny Card (green),1,102,103,Leiktho(ST),MMR003004
 National Registration Card (3-fold),7,584,591,Leiktho(ST),MMR003004
 Religious card,-,63,63,Leiktho(ST),MMR003004
 Temporary Registration Card (white),4,405,409,Leiktho(ST),MMR003004
 Foreign Passport,-,6,6,Leiktho(ST),MMR003004
 None,181,9567,9748,Leiktho(ST),MMR003004
 Child under 10 years,647,12960,13607,Leiktho(ST),MMR003004
 Total,3093,45513,48606,Leiktho(ST),MMR003004
