Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),8931,81098,90029,Tada U,MMR010016
 Associate Scrutiny Card (blue),1,28,29,Tada U,MMR010016
 Naturalised Scrutiny Card (green),1,133,134,Tada U,MMR010016
 National Registration Card (3-fold),13,297,310,Tada U,MMR010016
 Religious card,122,625,747,Tada U,MMR010016
 Temporary Registration Card (white),10,155,165,Tada U,MMR010016
 Foreign Passport,-,14,14,Tada U,MMR010016
 None,1530,22277,23807,Tada U,MMR010016
 Child under 10 years,1781,21601,23382,Tada U,MMR010016
 Total,12389,126228,138617,Tada U,MMR010016
