Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),58576,30413,88989,Myawady,MMR003005
 Associate Scrutiny Card (blue),54,56,110,Myawady,MMR003005
 Naturalised Scrutiny Card (green),270,153,423,Myawady,MMR003005
 National Registration Card (3-fold),1692,694,2386,Myawady,MMR003005
 Religious card,507,234,741,Myawady,MMR003005
 Temporary Registration Card (white),730,518,1248,Myawady,MMR003005
 Foreign Registration Card (FRC),5,6,11,Myawady,MMR003005
 Foreign Passport,26,31,57,Myawady,MMR003005
 None,27864,30555,58419,Myawady,MMR003005
 Child under 10 years,23431,19809,43240,Myawady,MMR003005
 Total,113155,82469,195624,Myawady,MMR003005
