Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9423,66856,76279,Tigyaing,MMR005022
 Associate Scrutiny Card (blue),7,36,43,Tigyaing,MMR005022
 Naturalised Scrutiny Card (green),11,45,56,Tigyaing,MMR005022
 National Registration Card (3-fold),11,92,103,Tigyaing,MMR005022
 Religious card,89,382,471,Tigyaing,MMR005022
 Temporary Registration Card (white),19,760,779,Tigyaing,MMR005022
 Foreign Registration Card (FRC),-,3,3,Tigyaing,MMR005022
 Foreign Passport,2,53,55,Tigyaing,MMR005022
 None,1707,25153,26860,Tigyaing,MMR005022
 Child under 10 years,2266,23040,25306,Tigyaing,MMR005022
 Total,13535,116420,129955,Tigyaing,MMR005022
