Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5133,42122,47255,Kyarinseikkyi,MMR003007
 Associate Scrutiny Card (blue),4,45,49,Kyarinseikkyi,MMR003007
 Naturalised Scrutiny Card (green),25,185,210,Kyarinseikkyi,MMR003007
 National Registration Card (3-fold),177,1829,2006,Kyarinseikkyi,MMR003007
 Religious card,49,294,343,Kyarinseikkyi,MMR003007
 Temporary Registration Card (white),121,557,678,Kyarinseikkyi,MMR003007
 Foreign Registration Card (FRC),-,6,6,Kyarinseikkyi,MMR003007
 Foreign Passport,-,31,31,Kyarinseikkyi,MMR003007
 None,1953,29749,31702,Kyarinseikkyi,MMR003007
 Child under 10 years,1623,22524,24147,Kyarinseikkyi,MMR003007
 Total,9085,97342,106427,Kyarinseikkyi,MMR003007
