Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4887,19768,24655,Minepyin,MMR016007
 Associate Scrutiny Card (blue),3,6,9,Minepyin,MMR016007
 Naturalised Scrutiny Card (green),6,31,37,Minepyin,MMR016007
 National Registration Card (3-fold),10,38,48,Minepyin,MMR016007
 Religious card,18,95,113,Minepyin,MMR016007
 Temporary Registration Card (white),10,97,107,Minepyin,MMR016007
 Foreign Registration Card (FRC),-,1,1,Minepyin,MMR016007
 Foreign Passport,-,3,3,Minepyin,MMR016007
 None,650,14427,15077,Minepyin,MMR016007
 Child under 10 years,1257,12842,14099,Minepyin,MMR016007
 Total,6841,47308,54149,Minepyin,MMR016007
