Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15624,48664,64288,Hopon,MMR014003
 Associate Scrutiny Card (blue),33,42,75,Hopon,MMR014003
 Naturalised Scrutiny Card (green),44,85,129,Hopon,MMR014003
 National Registration Card (3-fold),65,253,318,Hopon,MMR014003
 Religious card,149,244,393,Hopon,MMR014003
 Temporary Registration Card (white),8,45,53,Hopon,MMR014003
 Foreign Registration Card (FRC),4,-,4,Hopon,MMR014003
 Foreign Passport,6,12,18,Hopon,MMR014003
 None,3010,19777,22787,Hopon,MMR014003
 Child under 10 years,3897,20386,24283,Hopon,MMR014003
 Total,22840,89508,112348,Hopon,MMR014003
