Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7082,11842,18924,Maungtaw,MMR012009
 Associate Scrutiny Card (blue),14,7,21,Maungtaw,MMR012009
 Naturalised Scrutiny Card (green),567,1078,1645,Maungtaw,MMR012009
 National Registration Card (3-fold),23,178,201,Maungtaw,MMR012009
 Religious card,72,66,138,Maungtaw,MMR012009
 Temporary Registration Card (white),178,1018,1196,Maungtaw,MMR012009
 Foreign Registration Card (FRC),1,9,10,Maungtaw,MMR012009
 Foreign Passport,7,16,23,Maungtaw,MMR012009
 None,1864,6080,7944,Maungtaw,MMR012009
 Child under 10 years,1934,6163,8097,Maungtaw,MMR012009
 Total,11742,26457,38199,Maungtaw,MMR012009
