Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),48134,68734,116868,Pyinmana,MMR018006
 Associate Scrutiny Card (blue),105,42,147,Pyinmana,MMR018006
 Naturalised Scrutiny Card (green),278,191,469,Pyinmana,MMR018006
 National Registration Card (3-fold),396,1371,1767,Pyinmana,MMR018006
 Religious card,571,395,966,Pyinmana,MMR018006
 Temporary Registration Card (white),730,433,1163,Pyinmana,MMR018006
 Foreign Registration Card (FRC),41,5,46,Pyinmana,MMR018006
 Foreign Passport,14,22,36,Pyinmana,MMR018006
 None,11014,21163,32177,Pyinmana,MMR018006
 Child under 10 years,10727,23199,33926,Pyinmana,MMR018006
 Total,72010,115555,187565,Pyinmana,MMR018006
