Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10420,121806,132226,Natmauk,MMR009006
 Associate Scrutiny Card (blue),18,26,44,Natmauk,MMR009006
 Naturalised Scrutiny Card (green),36,266,302,Natmauk,MMR009006
 National Registration Card (3-fold),56,1344,1400,Natmauk,MMR009006
 Religious card,71,652,723,Natmauk,MMR009006
 Temporary Registration Card (white),26,133,159,Natmauk,MMR009006
 Foreign Registration Card (FRC),2,2,4,Natmauk,MMR009006
 Foreign Passport,2,24,26,Natmauk,MMR009006
 None,1833,31211,33044,Natmauk,MMR009006
 Child under 10 years,2273,36795,39068,Natmauk,MMR009006
 Total,14737,192259,206996,Natmauk,MMR009006
