Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6395,11100,17495,Tamoenye(ST),MMR015011
 Associate Scrutiny Card (blue),-,24,24,Tamoenye(ST),MMR015011
 Naturalised Scrutiny Card (green),45,360,405,Tamoenye(ST),MMR015011
 National Registration Card (3-fold),1531,5832,7363,Tamoenye(ST),MMR015011
 Religious card,2,51,53,Tamoenye(ST),MMR015011
 Temporary Registration Card (white),11,699,710,Tamoenye(ST),MMR015011
 Foreign Registration Card (FRC),-,1,1,Tamoenye(ST),MMR015011
 Foreign Passport,1,13,14,Tamoenye(ST),MMR015011
 None,3779,25660,29439,Tamoenye(ST),MMR015011
 Child under 10 years,2911,14903,17814,Tamoenye(ST),MMR015011
 Total,14675,58643,73318,Tamoenye(ST),MMR015011
