Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6199,31476,37675,Kalewa,MMR005028
 Associate Scrutiny Card (blue),3,6,9,Kalewa,MMR005028
 Naturalised Scrutiny Card (green),18,17,35,Kalewa,MMR005028
 National Registration Card (3-fold),9,28,37,Kalewa,MMR005028
 Religious card,64,151,215,Kalewa,MMR005028
 Temporary Registration Card (white),23,69,92,Kalewa,MMR005028
 Foreign Registration Card (FRC),1,-,1,Kalewa,MMR005028
 Foreign Passport,-,4,4,Kalewa,MMR005028
 None,1139,6571,7710,Kalewa,MMR005028
 Child under 10 years,1363,9291,10654,Kalewa,MMR005028
 Total,8819,47613,56432,Kalewa,MMR005028
