Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),12641,60056,72697,Minbya,MMR012005
 Associate Scrutiny Card (blue),4,31,35,Minbya,MMR012005
 Naturalised Scrutiny Card (green),40,30,70,Minbya,MMR012005
 National Registration Card (3-fold),13,135,148,Minbya,MMR012005
 Religious card,312,374,686,Minbya,MMR012005
 Temporary Registration Card (white),77,268,345,Minbya,MMR012005
 Foreign Registration Card (FRC),-,1,1,Minbya,MMR012005
 Foreign Passport,2,33,35,Minbya,MMR012005
 None,5946,53633,59579,Minbya,MMR012005
 Child under 10 years,3909,31703,35612,Minbya,MMR012005
 Total,22944,146264,169208,Minbya,MMR012005
