Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),28899,126654,155553,Kyaukse,MMR010013
 Associate Scrutiny Card (blue),51,162,213,Kyaukse,MMR010013
 Naturalised Scrutiny Card (green),72,425,497,Kyaukse,MMR010013
 National Registration Card (3-fold),91,472,563,Kyaukse,MMR010013
 Religious card,363,872,1235,Kyaukse,MMR010013
 Temporary Registration Card (white),151,311,462,Kyaukse,MMR010013
 Foreign Registration Card (FRC),4,2,6,Kyaukse,MMR010013
 Foreign Passport,40,534,574,Kyaukse,MMR010013
 None,5890,48115,54005,Kyaukse,MMR010013
 Child under 10 years,5921,38878,44799,Kyaukse,MMR010013
 Total,41482,216425,257907,Kyaukse,MMR010013
