Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),16492,117290,133782,Myanaung,MMR017011
 Associate Scrutiny Card (blue),24,48,72,Myanaung,MMR017011
 Naturalised Scrutiny Card (green),30,94,124,Myanaung,MMR017011
 National Registration Card (3-fold),16,746,762,Myanaung,MMR017011
 Religious card,197,593,790,Myanaung,MMR017011
 Temporary Registration Card (white),61,197,258,Myanaung,MMR017011
 Foreign Registration Card (FRC),2,2,4,Myanaung,MMR017011
 Foreign Passport,3,16,19,Myanaung,MMR017011
 None,2734,44465,47199,Myanaung,MMR017011
 Child under 10 years,2991,32580,35571,Myanaung,MMR017011
 Total,22550,196031,218581,Myanaung,MMR017011
