Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),14938,91907,106845,Danubyu,MMR017022
 Associate Scrutiny Card (blue),36,25,61,Danubyu,MMR017022
 Naturalised Scrutiny Card (green),62,129,191,Danubyu,MMR017022
 National Registration Card (3-fold),91,1536,1627,Danubyu,MMR017022
 Religious card,174,593,767,Danubyu,MMR017022
 Temporary Registration Card (white),4,68,72,Danubyu,MMR017022
 Foreign Registration Card (FRC),9,1,10,Danubyu,MMR017022
 Foreign Passport,6,9,15,Danubyu,MMR017022
 None,3258,34483,37741,Danubyu,MMR017022
 Child under 10 years,3184,28840,32024,Danubyu,MMR017022
 Total,21762,157591,179353,Danubyu,MMR017022
