Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5448,14703,20151,Mineshu,MMR014017
 Associate Scrutiny Card (blue),13,6,19,Mineshu,MMR014017
 Naturalised Scrutiny Card (green),75,15,90,Mineshu,MMR014017
 National Registration Card (3-fold),218,191,409,Mineshu,MMR014017
 Religious card,23,85,108,Mineshu,MMR014017
 Temporary Registration Card (white),31,39,70,Mineshu,MMR014017
 Foreign Registration Card (FRC),3,-,3,Mineshu,MMR014017
 Foreign Passport,-,11,11,Mineshu,MMR014017
 None,2138,10786,12924,Mineshu,MMR014017
 Child under 10 years,1860,7050,8910,Mineshu,MMR014017
 Total,9809,32886,42695,Mineshu,MMR014017
