Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),12161,120240,132401,Pantanaw,MMR017020
 Associate Scrutiny Card (blue),11,136,147,Pantanaw,MMR017020
 Naturalised Scrutiny Card (green),32,360,392,Pantanaw,MMR017020
 National Registration Card (3-fold),90,1248,1338,Pantanaw,MMR017020
 Religious card,182,577,759,Pantanaw,MMR017020
 Temporary Registration Card (white),18,240,258,Pantanaw,MMR017020
 Foreign Registration Card (FRC),24,4,28,Pantanaw,MMR017020
 Foreign Passport,-,45,45,Pantanaw,MMR017020
 None,4230,73778,78008,Pantanaw,MMR017020
 Child under 10 years,3072,48148,51220,Pantanaw,MMR017020
 Total,19820,244776,264596,Pantanaw,MMR017020
