Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),11277,100616,111893,Nyaungshwe,MMR014002
 Associate Scrutiny Card (blue),27,95,122,Nyaungshwe,MMR014002
 Naturalised Scrutiny Card (green),25,319,344,Nyaungshwe,MMR014002
 National Registration Card (3-fold),47,2819,2866,Nyaungshwe,MMR014002
 Religious card,169,592,761,Nyaungshwe,MMR014002
 Temporary Registration Card (white),23,192,215,Nyaungshwe,MMR014002
 Foreign Registration Card (FRC),15,40,55,Nyaungshwe,MMR014002
 Foreign Passport,305,216,521,Nyaungshwe,MMR014002
 None,2114,37054,39168,Nyaungshwe,MMR014002
 Child under 10 years,2206,31256,33462,Nyaungshwe,MMR014002
 Total,16208,173199,189407,Nyaungshwe,MMR014002
