Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),11506,37749,49255,Shwegu,MMR001011
 Associate Scrutiny Card (blue),26,27,53,Shwegu,MMR001011
 Naturalised Scrutiny Card (green),53,74,127,Shwegu,MMR001011
 National Registration Card (3-fold),23,240,263,Shwegu,MMR001011
 Religious card,132,208,340,Shwegu,MMR001011
 Temporary Registration Card (white),32,482,514,Shwegu,MMR001011
 Foreign Registration Card (FRC),10,-,10,Shwegu,MMR001011
 Foreign Passport,10,7,17,Shwegu,MMR001011
 None,3657,17579,21236,Shwegu,MMR001011
 Child under 10 years,3445,15431,18876,Shwegu,MMR001011
 Total,18894,71797,90691,Shwegu,MMR001011
