Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),93,446,539,Mawhtike(ST),MMR015023
 Associate Scrutiny Card (blue),-,2,2,Mawhtike(ST),MMR015023
 Naturalised Scrutiny Card (green),26,43,69,Mawhtike(ST),MMR015023
 National Registration Card (3-fold),100,8910,9010,Mawhtike(ST),MMR015023
 Religious card,1,4,5,Mawhtike(ST),MMR015023
 Temporary Registration Card (white),-,17,17,Mawhtike(ST),MMR015023
 Foreign Registration Card (FRC),1,5,6,Mawhtike(ST),MMR015023
 Foreign Passport,33,41,74,Mawhtike(ST),MMR015023
 None,95,11156,11251,Mawhtike(ST),MMR015023
 Child under 10 years,75,5242,5317,Mawhtike(ST),MMR015023
 Total,424,25866,26290,Mawhtike(ST),MMR015023
