Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1213,6343,7556,Pansaung(ST),MMR005037
 Associate Scrutiny Card (blue),4,6,10,Pansaung(ST),MMR005037
 Naturalised Scrutiny Card (green),-,3,3,Pansaung(ST),MMR005037
 National Registration Card (3-fold),1,38,39,Pansaung(ST),MMR005037
 Religious card,1,3,4,Pansaung(ST),MMR005037
 Temporary Registration Card (white),7,18,25,Pansaung(ST),MMR005037
 Foreign Passport,1,8,9,Pansaung(ST),MMR005037
 None,368,3435,3803,Pansaung(ST),MMR005037
 Child under 10 years,583,3665,4248,Pansaung(ST),MMR005037
 Total,2178,13519,15697,Pansaung(ST),MMR005037
