Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),57962,123624,181586,Myingyan,MMR010017
 Associate Scrutiny Card (blue),58,22,80,Myingyan,MMR010017
 Naturalised Scrutiny Card (green),122,492,614,Myingyan,MMR010017
 National Registration Card (3-fold),398,1640,2038,Myingyan,MMR010017
 Religious card,742,795,1537,Myingyan,MMR010017
 Temporary Registration Card (white),687,461,1148,Myingyan,MMR010017
 Foreign Registration Card (FRC),19,2,21,Myingyan,MMR010017
 Foreign Passport,29,34,63,Myingyan,MMR010017
 None,14421,31973,46394,Myingyan,MMR010017
 Child under 10 years,13270,29345,42615,Myingyan,MMR010017
 Total,87708,188388,276096,Myingyan,MMR010017
