Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),13128,82045,95173,Zalun,MMR017009
 Associate Scrutiny Card (blue),15,30,45,Zalun,MMR017009
 Naturalised Scrutiny Card (green),32,133,165,Zalun,MMR017009
 National Registration Card (3-fold),152,1737,1889,Zalun,MMR017009
 Religious card,104,368,472,Zalun,MMR017009
 Temporary Registration Card (white),12,63,75,Zalun,MMR017009
 Foreign Registration Card (FRC),-,2,2,Zalun,MMR017009
 Foreign Passport,1,20,21,Zalun,MMR017009
 None,4442,35063,39505,Zalun,MMR017009
 Child under 10 years,3368,27488,30856,Zalun,MMR017009
 Total,21254,146949,168203,Zalun,MMR017009
