Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4159,67559,71718,Chaungzon,MMR011003
 Associate Scrutiny Card (blue),-,32,32,Chaungzon,MMR011003
 Naturalised Scrutiny Card (green),12,257,269,Chaungzon,MMR011003
 National Registration Card (3-fold),871,2685,3556,Chaungzon,MMR011003
 Religious card,29,595,624,Chaungzon,MMR011003
 Temporary Registration Card (white),11,149,160,Chaungzon,MMR011003
 Foreign Registration Card (FRC),-,2,2,Chaungzon,MMR011003
 Foreign Passport,1,16,17,Chaungzon,MMR011003
 None,1202,21418,22620,Chaungzon,MMR011003
 Child under 10 years,1442,21686,23128,Chaungzon,MMR011003
 Total,7727,114399,122126,Chaungzon,MMR011003
