Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4415,14139,18554,Mineye`,MMR015003
 Associate Scrutiny Card (blue),8,26,34,Mineye`,MMR015003
 Naturalised Scrutiny Card (green),17,174,191,Mineye`,MMR015003
 National Registration Card (3-fold),77,2595,2672,Mineye`,MMR015003
 Religious card,31,117,148,Mineye`,MMR015003
 Temporary Registration Card (white),14,122,136,Mineye`,MMR015003
 Foreign Registration Card (FRC),1,2,3,Mineye`,MMR015003
 Foreign Passport,1,4,5,Mineye`,MMR015003
 None,1239,23960,25199,Mineye`,MMR015003
 Child under 10 years,1243,11191,12434,Mineye`,MMR015003
 Total,7046,52330,59376,Mineye`,MMR015003
