Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6040,24105,30145,Theinni,MMR015002
 Associate Scrutiny Card (blue),5,16,21,Theinni,MMR015002
 Naturalised Scrutiny Card (green),33,123,156,Theinni,MMR015002
 National Registration Card (3-fold),123,2110,2233,Theinni,MMR015002
 Religious card,53,97,150,Theinni,MMR015002
 Temporary Registration Card (white),60,740,800,Theinni,MMR015002
 Foreign Registration Card (FRC),5,1,6,Theinni,MMR015002
 Foreign Passport,1,1,2,Theinni,MMR015002
 None,1195,9963,11158,Theinni,MMR015002
 Child under 10 years,1637,10354,11991,Theinni,MMR015002
 Total,9152,47510,56662,Theinni,MMR015002
