Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),29767,9977,39744,Tamu,MMR005030
 Associate Scrutiny Card (blue),14,2,16,Tamu,MMR005030
 Naturalised Scrutiny Card (green),21,9,30,Tamu,MMR005030
 National Registration Card (3-fold),38,6,44,Tamu,MMR005030
 Religious card,144,47,191,Tamu,MMR005030
 Temporary Registration Card (white),23,33,56,Tamu,MMR005030
 Foreign Registration Card (FRC),-,1,1,Tamu,MMR005030
 Foreign Passport,16,3,19,Tamu,MMR005030
 None,4795,1647,6442,Tamu,MMR005030
 Child under 10 years,8919,3881,12800,Tamu,MMR005030
 Total,43737,15606,59343,Tamu,MMR005030
